label,Ss,Sr,q10,q50
"St. Anthony, NL",5.1,0.6,0.67,0.87
"St. John's, NL",2.9,0.7,0.6,0.78
"Stephenville, NL",3.5,0.6,0.45,0.58
"Twin Falls, NL",4.6,0.4,0.31,0.4
"Wabana, NL",3,0.7,0.58,0.75
"Wabush, NL",4.3,0.3,0.31,0.4
"Amherst, NS",2.4,0.6,0.37,0.48
"Antigonish, NS",2.1,0.6,0.42,0.54
"Bridgewater, NS",1.9,0.6,0.43,0.55
"Canso, NS",1.7,0.6,0.48,0.61
"Dartmouth, NS",1.6,0.6,0.45,0.58
"Debert, NS",2.1,0.6,0.37,0.48
"Digby, NS",2.2,0.6,0.43,0.55
"Greenwood (CFB), NS",2.7,0.6,0.42,0.54
"Halifax, NS",1.9,0.6,0.45,0.58
"Kentville, NS",2.4,0.6,0.42,0.54
"Liverpool, NS",1.7,0.6,0.48,0.61
"Lockeport, NS",1.4,0.6,0.47,0.6
"Louisburg, NS",2.1,0.7,0.5,0.65
"Lunenburg, NS",1.9,0.6,0.48,0.61
"New Glasgow, NS",2.2,0.6,0.43,0.55
"North Sydney, NS",2.4,0.6,0.46,0.59
"Pictou, NS",2.2,0.6,0.43,0.55
"Port Hawkesbury, NS",2.1,0.6,0.57,0.74
"Springhill, NS",3.1,0.6,0.37,0.48
"Stewiacke, NS",1.8,0.6,0.39,0.5
"Sydney, NS",2.3,0.6,0.46,0.59
"Tatamagouche, NS",2.2,0.6,0.43,0.55
"Truro, NS",2,0.6,0.37,0.48
"Wolfville, NS",2.4,0.6,0.42,0.54
"Yarmouth, NS",1.8,0.6,0.43,0.56
"Aklavik, NT",2.3,0.1,0.37,0.48
"Echo Bay / Port Radium, NT",3,0.1,0.41,0.53
"Fort Good Hope, NT",2.9,0.1,0.34,0.44
"Fort McPherson, NT",2.3,0.1,0.31,0.4
"Fort Providence, NT",2.4,0.1,0.27,0.35
"Fort Resolution, NT",2.3,0.1,0.3,0.39
"Fort Simpson, NT",2.3,0.1,0.3,0.39
"Fort Smith, NT",2.3,0.2,0.3,0.39
"Hay River, NT",2.4,0.1,0.27,0.35
"Holman!Uiukhaqtuuq, NT",2.1,0.1,0.66,0.86
"lnuvik, NT",2.3,0.1,0.37,0.48
"Mould Bay, NT",1.5,0.1,0.45,0.58
"Norman Wells, NT",2.7,0.1,0.34,0.44
"Rae-Edzo, NT",2.3,0.1,0.36,0.47
"Tungsten, NT",4.3,0.1,0.34,0.44
"Wrigley, NT",2.8,0.1,0.3,0.39
"Yellowknife, NT",2.2,0.1,0.36,0.47
"Alert, NU",1.6,0.1,0.58,0.75
"Arctic Bay, NU",2.1,0.1,0.43,0.55
"Arviat / Eskimo Point, NU",2.9,0.2,0.45,0.58
"Baker Lake, NU",2.9,0.2,0.42,0.54
"Cambridge Bay / lqaluktuuttiaq, NU",1.6,0.1,0.42,0.54
"Chesterfield lnlet / lgluligaarjuk, NU",3,0.2,0.43,0.56
"Clyde River / Kanngiqtugaapik, NU",3.5,0.2,0.56,0.72
"Coppermine (Kugluktuk), NU",2.6,0.1,0.36,0.46
"Coral Harbour / Salliq, NU",3.8,0.2,0.54,0.69
"Eureka, NU",1.6,0.1,0.43,0.55
"lqaluit, NU",2.9,0.2,0.45,0.58
"lsachsen, NU",1.6,0.1,0.47,0.6
"Nottingham Island, NU",4.5,0.2,0.6,0.78
"Rankin Inlet (Kangiqiniq), NU",3,0.2,0.47,0.6
"Resolute, NU",1.7,0.1,0.54,0.69
"Resolution Island, NU",5.2,0.2,0.95,1.23
"Ailsa Craig, ON",2.2,0.4,0.39,0.5
"Ajax, ON",1,0.4,0.37,0.48
"Alexandria, ON",2.4,0.4,0.31,0.4
"Alliston, ON",2,0.4,0.28,0.36
"Almonte, ON",2.5,0.4,0.32,0.41
"Armstrong, ON",2.7,0.4,0.23,0.3
"Arnprior, ON",2.5,0.4,0.29,0.37
"Atikokan, ON",2.4,0.3,0.23,0.3
"Attawapiskat, ON",2.8,0.3,0.32,0.41
"Aurora, ON",2,0.4,0.34,0.44
"Bancroft, ON",3.1,0.4,0.25,0.32
"Barrie, ON",2.5,0.4,0.28,0.36
"Barriefield, ON",2.1,0.4,0.36,0.47
"Beaverton, ON",2.2,0.4,0.28,0.36
"Belleville, ON",1.7,0.4,0.33,0.43
"Belmont, ON",1.7,0.4,0.36,0.47
"Bracebridge, ON",3.1,0.4,0.27,0.35
"Bradford, ON",2.1,0.4,0.28,0.36
"Brampton, ON",1.3,0.4,0.34,0.44
"Brantford, ON",1.3,0.4,0.33,0.42
"Brighton, ON",1.6,0.4,0.37,0.48
"Brockville, ON",2.2,0.4,0.34,0.44
"Burk's Falls, ON",2.7,0.4,0.27,0.35
"Burlington, ON",0.9,0.4,0.36,0.46
"Cambridge, ON",1.6,0.4,0.28,0.36
"Campbellford, ON",1.7,0.4,0.32,0.41
"Cannington, ON",2.2,0.4,0.28,0.36
"Carleton Place, ON",2.5,0.4,0.32,0.41
"Cavan, ON",2,0.4,0.34,0.44
"Centralia, ON",2.3,0.4,0.38,0.49
"CFB Borden, ON",2.2,0.4,0.28,0.36
"Chapleau, ON",4,0.4,0.23,0.3
"Chatham, ON",1,0.4,0.33,0.43
"Chesley, ON",2.8,0.4,0.37,0.48
"Clinton, ON",2.6,0.4,0.38,0.49
"Coboconk, ON",2.5,0.4,0.27,0.35
"Cobourg, ON",1.2,0.4,0.38,0.49
"Cochrane, ON",2.8,0.3,0.27,0.35
"Colborne, ON",1.6,0.4,0.38,0.49
"Collingwood, ON",2.7,0.4,0.3,0.39
"Cornwall, ON",2.2,0.4,0.32,0.41
"Corunna, ON",1,0.4,0.36,0.47
"Deep River, ON",2.5,0.4,0.27,0.35
"Deseronto, ON",1.9,0.4,0.33,0.43
"Dorchester, ON",1.9,0.4,0.36,0.47
"Dorion, ON",2.8,0.4,0.3,0.39
"Dresden, ON",1,0.4,0.33,0.43
"Dryden, ON",2.4,0.3,0.23,0.3
"Dundalk, ON",3.4,0.4,0.33,0.42
"Dunnville, ON",2,0.4,0.36,0.46
"Durham, ON",2.8,0.4,0.34,0.44
"Dutton, ON",1.3,0.4,0.36,0.47
"Earlton, ON",2.6,0.4,0.35,0.45
"Edison, ON",2.4,0.3,0.24,0.31
"Elliot Lake, ON",2.9,0.4,0.29,0.38
"Elmvale, ON",2.6,0.4,0.28,0.36
"Embro, ON",2,0.4,0.37,0.48
"Englehart, ON",2.5,0.4,0.32,0.41
"Espanola, ON",2.3,0.4,0.33,0.42
"Etobicoke, ON",1.1,0.4,0.34,0.44
"Exeter, ON",2.4,0.4,0.38,0.49
"Fenelon Falls, ON",2.3,0.4,0.28,0.36
"Fergus, ON",2.2,0.4,0.28,0.36
"Forest, ON",2,0.4,0.37,0.48
"Fort Erie, ON",2.6,0.4,0.36,0.46
"Fort Erie (Ridgeway), ON",2.5,0.4,0.36,0.46
"Fort Frances, ON",2.3,0.3,0.24,0.31
"Gananoque, ON",2.1,0.4,0.36,0.47
"Geraldton, ON",2.9,0.4,0.23,0.3
"Glencoe, ON",1.5,0.4,0.33,0.43
"Goderich, ON",2.4,0.4,0.43,0.55
"Gore Bay, ON",2.6,0.4,0.34,0.44
"Graham, ON",2.6,0.3,0.23,0.3
"Gravenhurst (Muskoka Airport), ON",2.7,0.4,0.28,0.36
"Grimsby, ON",0.9,0.4,0.36,0.46
"Guelph, ON",1.9,0.4,0.28,0.36
"Guthrie, ON",2.5,0.4,0.28,0.36
